Charter Date,Vessel Type,Charter Price ($/day),Duration (days),LNG Capacity (m),LPG Capacity (m),Cargo Capacity (DWT),Container Capacity (TEU),Size Category,Cargo Type,Vessel Length (m),Vessel breadth (m),Fuel Cost ($/liter),Age_of_Vess
2021-05-24,Tanker,46951,211,,,125740.0,,Panamax,Refined Products,136,31,0.57,10
2023-08-09,Tanker,42716,66,,,354763.0,,VLCC,Crude Oil,294,42,0.72,6
2022-08-21,LPG Carrier,36515,334,,16945.0,,,Typical LPG Carrier,Liquified Petroleum Gas,106,15,0.69,11
2021-02-24,Tanker,23181,195,,,384817.0,,LR1,Refined Products,83,26,0.55,4
2023-07-31,Bulk Carrier,13324,210,,,86946.0,,Panamax,Iron Ore,253,48,0.73,16
2021-05-26,LNG Carrier,26875,199,116327.0,,,,Typical LNG Carrier,Liquified Natural Gas,235,49,0.55,12
2023-08-01,Bulk Carrier,21708,336,,,53770.0,,Panamax,Coal,101,47,0.65,13
2022-08-25,Tanker,37006,231,,,108679.0,,LR2,Refined Products,86,27,0.78,12
2023-11-02,Tanker,37856,259,,,157391.0,,Suezmax,Crude Oil,329,36,0.74,11
2022-04-02,Bulk Carrier,15681,417,,,65794.0,,Panamax,Iron Ore,294,22,0.65,15
2023-04-02,LNG Carrier,46384,53,115056.0,,,,Typical LNG Carrier,Liquified Natural Gas,225,44,0.62,10
2021-01-13,LPG Carrier,37010,57,,16937.0,,,Typical LPG Carrier,Liquified Petroleum Gas,114,38,0.6,11
2022-10-12,Tanker,21735,387,,,337547.0,,Panamax,Crude Oil,263,61,0.72,9
2023-01-26,Tanker,43897,76,,,383981.0,,VLCC,Crude Oil,290,44,0.68,18
2022-03-30,LNG Carrier,44378,297,120557.0,,,,Typical LNG Carrier,Liquified Natural Gas,289,45,0.69,14
2022-06-20,Container Ship,12031,118,,,,12249.0,New Panamax (Neo-Panamax) Ships,Apparel,164,33,0.51,12
2021-05-14,LPG Carrier,32288,178,,28609.0,,,Typical LPG Carrier,Liquified Petroleum Gas,142,22,0.78,2
2022-12-12,Container Ship,12813,263,,,,12673.0,New Panamax (Neo-Panamax) Ships,Machinery,373,20,0.5,13
2021-06-21,LPG Carrier,40494,431,,6161.0,,,Typical LPG Carrier,Liquified Petroleum Gas,219,22,0.62,8
2023-12-09,Tanker,38826,111,,,274530.0,,LR2,Refined Products,92,49,0.53,12
2022-12-08,LPG Carrier,31611,233,,50472.0,,,Typical LPG Carrier,Liquified Petroleum Gas,117,30,0.56,4
2023-11-27,LPG Carrier,41554,321,,64377.0,,,Typical LPG Carrier,Liquified Petroleum Gas,179,23,0.6,17
2021-07-13,Container Ship,27534,177,,,,11521.0,Feeder Ships,Chemicals,277,15,0.61,4
2022-05-27,Tanker,29494,397,,,80762.0,,MR,Crude Oil,164,62,0.51,9
2023-02-10,Bulk Carrier,24586,73,,,42495.0,,Panamax,Grain,237,45,0.58,12
2023-10-20,Container Ship,14842,444,,,,10787.0,Panamax Ships,Machinery,324,41,0.71,11
2022-06-06,LPG Carrier,35346,153,,59384.0,,,Typical LPG Carrier,Liquified Petroleum Gas,204,16,0.52,5
2022-08-14,Tanker,35556,220,,,134457.0,,Handysize,Crude Oil,75,52,0.77,18
2022-11-05,LNG Carrier,28324,428,122490.0,,,,Typical LNG Carrier,Liquified Natural Gas,271,49,0.77,10
2023-02-09,Bulk Carrier,12260,371,,,38464.0,,Handysize,Iron Ore,252,33,0.6,7
2021-05-31,Tanker,48038,244,,,238548.0,,LR2,Refined Products,244,46,0.78,14
2022-02-06,Tanker,40391,336,,,161470.0,,VLCC,Crude Oil,72,41,0.64,15
2021-07-18,LPG Carrier,27341,343,,79342.0,,,Typical LPG Carrier,Liquified Petroleum Gas,139,19,0.54,11
2023-05-02,LNG Carrier,52826,401,111542.0,,,,Typical LNG Carrier,Liquified Natural Gas,249,49,0.68,9
2023-02-28,Bulk Carrier,29571,278,,,97465.0,,Panamax,Iron Ore,274,46,0.67,11
2021-07-29,Container Ship,19216,125,,,,13352.0,Feedermax Ships,Consumer Goods,328,30,0.7,8
2022-02-23,LPG Carrier,29057,352,,74311.0,,,Typical LPG Carrier,Liquified Petroleum Gas,198,24,0.63,9
2023-11-25,LPG Carrier,38142,318,,46223.0,,,Typical LPG Carrier,Liquified Petroleum Gas,225,28,0.74,2
2023-11-15,LPG Carrier,33485,263,,72836.0,,,Typical LPG Carrier,Liquified Petroleum Gas,168,17,0.65,16
2023-10-06,Tanker,26947,307,,,71331.0,,Handysize,Crude Oil,76,29,0.66,1
2021-01-31,Tanker,44742,206,,,238538.0,,Panamax,Crude Oil,204,22,0.76,4
2022-02-12,LPG Carrier,33989,312,,39518.0,,,Typical LPG Carrier,Liquified Petroleum Gas,223,38,0.55,15
2023-01-23,Bulk Carrier,21468,337,,,98604.0,,Panamax,Coal,216,23,0.66,12
2022-01-13,Tanker,21105,76,,,102682.0,,MR,Refined Products,122,34,0.66,10
2021-05-28,LPG Carrier,38999,359,,53275.0,,,Typical LPG Carrier,Liquified Petroleum Gas,210,15,0.69,6
2022-11-27,Container Ship,26461,327,,,,3642.0,Feedermax Ships,Chemicals,314,42,0.68,13
2023-10-22,Bulk Carrier,18664,143,,,12204.0,,Handysize,Iron Ore,102,30,0.71,3
2023-10-29,LPG Carrier,25075,293,,55084.0,,,Typical LPG Carrier,Liquified Petroleum Gas,165,31,0.71,11
2023-12-14,LPG Carrier,24230,133,,55451.0,,,Typical LPG Carrier,Liquified Petroleum Gas,201,23,0.75,14
2021-12-10,Container Ship,30014,431,,,,9506.0,Panamax Ships,Machinery,70,46,0.5,9
2023-12-06,Container Ship,17821,266,,,,8934.0,New Panamax (Neo-Panamax) Ships,Electronics,352,20,0.69,8
2021-11-04,Tanker,37679,239,,,132847.0,,ULCC,Crude Oil,137,61,0.73,4
2022-09-20,Tanker,34492,260,,,399704.0,,Suezmax,Refined Products,242,64,0.55,12
2021-09-17,Container Ship,13225,447,,,,7058.0,New Panamax (Neo-Panamax) Ships,Apparel,378,15,0.62,5
2023-09-01,Container Ship,26181,418,,,,12170.0,Panamax Ships,Consumer Goods,356,21,0.64,11
2021-07-04,LNG Carrier,42973,207,136157.0,,,,Typical LNG Carrier,Liquified Natural Gas,296,48,0.51,8
2023-03-20,Tanker,17267,58,,,77944.0,,LR1,Crude Oil,106,37,0.66,5
2022-02-04,Container Ship,29652,52,,,,6232.0,New Panamax (Neo-Panamax) Ships,Chemicals,324,35,0.69,5
2021-02-13,LPG Carrier,28927,54,,74360.0,,,Typical LPG Carrier,Liquified Petroleum Gas,178,29,0.78,7
2022-06-28,Tanker,43740,108,,,338472.0,,Suezmax,Refined Products,132,28,0.57,9
2021-06-04,Bulk Carrier,13961,126,,,109501.0,,Handymax/Supramax,Grain,111,26,0.57,15
2024-01-21,Tanker,24241,337,,,321318.0,,LR2,Crude Oil,178,26,0.79,12
2022-02-14,Bulk Carrier,19847,169,,,189575.0,,Handysize,Grain,271,41,0.75,14
2023-08-01,Container Ship,10349,438,,,,12447.0,Panamax Ships,Apparel,195,59,0.75,9
2022-06-24,LNG Carrier,41660,388,118063.0,,,,Typical LNG Carrier,Liquified Natural Gas,250,40,0.59,2
2023-07-30,LNG Carrier,37519,338,134417.0,,,,Typical LNG Carrier,Liquified Natural Gas,274,46,0.5,10
2021-03-23,Tanker,39981,171,,,71605.0,,ULCC,Crude Oil,294,63,0.52,1
2021-06-08,Tanker,19532,365,,,228341.0,,Panamax,Crude Oil,171,42,0.68,11
2023-01-05,Container Ship,15801,304,,,,4720.0,Post-Panamax Ships,Electronics,107,21,0.64,12
2022-08-01,Container Ship,31949,111,,,,12955.0,Panamax Ships,Chemicals,162,38,0.65,1
2022-10-23,Container Ship,24768,77,,,,7830.0,Panamax Ships,Chemicals,198,29,0.57,16
2021-06-09,LPG Carrier,41676,71,,40222.0,,,Typical LPG Carrier,Liquified Petroleum Gas,152,33,0.61,9
2021-11-16,LNG Carrier,39900,173,148578.0,,,,Typical LNG Carrier,Liquified Natural Gas,207,49,0.66,6
2023-09-21,Tanker,33104,165,,,101456.0,,MR,Refined Products,165,29,0.59,2
2022-03-13,LPG Carrier,25987,223,,76293.0,,,Typical LPG Carrier,Liquified Petroleum Gas,118,22,0.59,5
2022-09-16,LNG Carrier,48228,227,136824.0,,,,Typical LNG Carrier,Liquified Natural Gas,240,42,0.55,13
2021-04-27,Tanker,33326,448,,,369066.0,,ULCC,Refined Products,184,54,0.79,6
2021-01-06,Tanker,30156,261,,,352834.0,,Handysize,Refined Products,278,35,0.56,16
2022-09-15,Container Ship,23472,118,,,,13454.0,Feedermax Ships,Chemicals,141,14,0.58,9
2021-05-16,Bulk Carrier,24602,307,,,145344.0,,Panamax,Coal,123,50,0.54,8
2021-08-12,LPG Carrier,24688,448,,26204.0,,,Typical LPG Carrier,Liquified Petroleum Gas,212,14,0.6,17
2021-05-24,LPG Carrier,20577,354,,31260.0,,,Typical LPG Carrier,Liquified Petroleum Gas,130,28,0.75,4
2021-03-10,Bulk Carrier,23800,425,,,136569.0,,Panamax,Iron Ore,205,21,0.8,14
2022-11-09,LNG Carrier,47258,58,126611.0,,,,Typical LNG Carrier,Liquified Natural Gas,295,49,0.51,1
2022-07-08,Bulk Carrier,19913,235,,,157501.0,,Capesize,Iron Ore,232,57,0.53,7
2021-11-24,Bulk Carrier,16595,260,,,45688.0,,Handymax/Supramax,Iron Ore,174,33,0.62,8
2023-08-16,LPG Carrier,32337,413,,20335.0,,,Typical LPG Carrier,Liquified Petroleum Gas,126,31,0.66,13
2023-01-25,Tanker,16741,165,,,284309.0,,Handysize,Crude Oil,299,59,0.51,5
2021-04-01,Bulk Carrier,19468,397,,,67397.0,,Capesize,Grain,238,30,0.69,7
2023-07-08,Container Ship,34956,202,,,,3879.0,Feeder Ships,Chemicals,93,42,0.66,3
2022-11-15,Bulk Carrier,17980,337,,,197697.0,,Panamax,Iron Ore,187,36,0.71,18
2023-11-06,LPG Carrier,21687,224,,29888.0,,,Typical LPG Carrier,Liquified Petroleum Gas,223,26,0.78,5
2023-07-03,Tanker,28536,350,,,102659.0,,LR2,Refined Products,300,53,0.65,16
2022-01-03,Tanker,44811,272,,,254156.0,,LR1,Crude Oil,262,39,0.76,16
2022-07-13,Container Ship,24516,331,,,,7781.0,Panamax Ships,Consumer Goods,225,55,0.52,4
2022-06-27,Bulk Carrier,11238,141,,,45456.0,,Capesize,Coal,147,53,0.55,16
2023-01-22,LPG Carrier,21949,375,,76454.0,,,Typical LPG Carrier,Liquified Petroleum Gas,217,31,0.52,5
2023-02-23,LNG Carrier,26102,231,131159.0,,,,Typical LNG Carrier,Liquified Natural Gas,299,48,0.76,6
2022-10-02,Bulk Carrier,23887,389,,,44360.0,,Panamax,Grain,172,25,0.79,6
2022-05-07,Tanker,39812,279,,,83004.0,,Suezmax,Refined Products,120,49,0.67,4
2021-08-11,Tanker,36439,445,,,163430.0,,MR,Refined Products,83,44,0.6,18
2023-06-19,Tanker,41560,188,,,138614.0,,LR2,Crude Oil,160,65,0.75,11
2021-11-24,LPG Carrier,27414,449,,18831.0,,,Typical LPG Carrier,Liquified Petroleum Gas,143,31,0.79,5
2021-03-11,Container Ship,31768,170,,,,7392.0,New Panamax (Neo-Panamax) Ships,Chemicals,265,35,0.8,18
2024-01-09,LPG Carrier,20663,181,,6754.0,,,Typical LPG Carrier,Liquified Petroleum Gas,152,24,0.63,1
2021-10-28,Bulk Carrier,12953,371,,,183139.0,,Capesize,Grain,164,34,0.57,6
2023-05-10,LPG Carrier,42299,92,,79193.0,,,Typical LPG Carrier,Liquified Petroleum Gas,162,15,0.68,12
2022-03-09,Tanker,42955,244,,,115912.0,,LR2,Refined Products,192,21,0.6,9
2021-01-15,Container Ship,17912,187,,,,4231.0,Feeder Ships,Apparel,396,32,0.56,6
2021-07-03,LNG Carrier,43924,130,131853.0,,,,Typical LNG Carrier,Liquified Natural Gas,287,42,0.68,14
2022-12-15,Container Ship,18437,371,,,,11690.0,New Panamax (Neo-Panamax) Ships,Consumer Goods,105,47,0.72,2
2021-12-29,Bulk Carrier,16564,127,,,95282.0,,Handymax/Supramax,Iron Ore,227,30,0.57,9
2022-05-26,Tanker,38810,384,,,213521.0,,ULCC,Refined Products,349,62,0.71,12
2022-08-27,Bulk Carrier,28586,378,,,78539.0,,Handymax/Supramax,Grain,298,32,0.77,8
2022-11-25,Container Ship,16250,59,,,,12476.0,Panamax Ships,Electronics,252,52,0.52,3
2021-04-01,Bulk Carrier,11837,285,,,79165.0,,Capesize,Grain,261,37,0.6,4
2022-11-14,LPG Carrier,28352,243,,50456.0,,,Typical LPG Carrier,Liquified Petroleum Gas,223,19,0.52,8
2021-07-02,LPG Carrier,35718,208,,75446.0,,,Typical LPG Carrier,Liquified Petroleum Gas,155,38,0.75,2
2023-04-20,Bulk Carrier,19048,103,,,114130.0,,Handymax/Supramax,Coal,222,54,0.67,18
2022-11-25,Tanker,29761,443,,,367270.0,,LR2,Refined Products,232,54,0.5,2
2023-12-13,Tanker,47148,236,,,74865.0,,LR1,Crude Oil,111,37,0.5,1
2022-10-17,LPG Carrier,24468,181,,32110.0,,,Typical LPG Carrier,Liquified Petroleum Gas,131,31,0.79,15
2023-11-01,Bulk Carrier,29132,201,,,81021.0,,Capesize,Grain,274,43,0.74,12
2023-05-05,Container Ship,34613,356,,,,5320.0,Feeder Ships,Chemicals,251,22,0.65,13
2023-07-25,Container Ship,31886,397,,,,5791.0,Panamax Ships,Consumer Goods,183,18,0.77,5
2021-04-19,Tanker,32288,358,,,77006.0,,Panamax,Refined Products,248,53,0.68,7
2023-11-22,Bulk Carrier,16006,379,,,199812.0,,Handysize,Iron Ore,280,38,0.67,18
2023-06-03,Container Ship,28614,340,,,,13995.0,Feeder Ships,Apparel,92,43,0.69,13
2023-06-19,LNG Carrier,55180,174,134452.0,,,,Typical LNG Carrier,Liquified Natural Gas,242,42,0.74,10
2024-01-24,Tanker,43174,122,,,357983.0,,Panamax,Crude Oil,348,44,0.78,14
2022-11-12,LPG Carrier,36697,359,,59070.0,,,Typical LPG Carrier,Liquified Petroleum Gas,135,23,0.76,10
2022-03-09,LPG Carrier,28063,383,,7986.0,,,Typical LPG Carrier,Liquified Petroleum Gas,228,21,0.58,18
2022-09-08,Bulk Carrier,17685,390,,,10268.0,,Handymax/Supramax,Iron Ore,233,57,0.76,10
2023-11-25,Container Ship,16032,358,,,,4041.0,Post-Panamax Ships,Machinery,354,29,0.8,9
2021-04-22,LPG Carrier,40662,257,,26520.0,,,Typical LPG Carrier,Liquified Petroleum Gas,230,19,0.5,15
2021-11-16,LNG Carrier,49168,253,116805.0,,,,Typical LNG Carrier,Liquified Natural Gas,288,47,0.68,9
2021-07-16,Container Ship,24288,286,,,,12576.0,New Panamax (Neo-Panamax) Ships,Machinery,357,53,0.66,16
2023-07-20,Bulk Carrier,15858,395,,,125373.0,,Panamax,Coal,271,33,0.67,7
2023-07-05,LPG Carrier,40953,385,,42947.0,,,Typical LPG Carrier,Liquified Petroleum Gas,207,34,0.6,10
2022-05-12,LNG Carrier,31662,55,120510.0,,,,Typical LNG Carrier,Liquified Natural Gas,267,42,0.66,18
2021-06-13,LNG Carrier,45418,179,112977.0,,,,Typical LNG Carrier,Liquified Natural Gas,244,44,0.66,5
2022-04-18,Tanker,29009,206,,,268686.0,,Aframax,Refined Products,122,34,0.59,8
2023-01-11,Container Ship,16143,112,,,,7723.0,Feedermax Ships,Machinery,343,48,0.65,6
2023-08-25,LPG Carrier,29705,442,,20704.0,,,Typical LPG Carrier,Liquified Petroleum Gas,193,15,0.55,1
2023-01-04,Container Ship,17582,212,,,,7939.0,Post-Panamax Ships,Electronics,235,34,0.79,9
2021-02-05,Bulk Carrier,21821,189,,,42797.0,,Panamax,Grain,250,25,0.56,18
2021-12-28,LPG Carrier,38422,73,,48358.0,,,Typical LPG Carrier,Liquified Petroleum Gas,227,25,0.62,6
2023-10-04,Bulk Carrier,18713,407,,,148083.0,,Handysize,Grain,166,31,0.79,5
2022-11-28,LNG Carrier,45323,136,141328.0,,,,Typical LNG Carrier,Liquified Natural Gas,278,49,0.73,13
2022-07-10,Bulk Carrier,20208,218,,,130640.0,,Handymax/Supramax,Grain,292,51,0.56,5
2022-04-21,Bulk Carrier,28759,213,,,46061.0,,Handysize,Grain,286,49,0.61,12
2023-10-23,LPG Carrier,39133,314,,62001.0,,,Typical LPG Carrier,Liquified Petroleum Gas,157,38,0.55,10
2023-07-18,Tanker,35999,215,,,79810.0,,LR1,Refined Products,121,36,0.71,7
2022-11-06,Container Ship,19808,186,,,,12162.0,Feedermax Ships,Machinery,251,59,0.66,8
2023-08-13,Tanker,41694,234,,,114077.0,,Aframax,Refined Products,169,44,0.61,3
2022-03-09,LNG Carrier,43199,139,148017.0,,,,Typical LNG Carrier,Liquified Natural Gas,222,48,0.56,17
2023-01-14,LNG Carrier,53209,90,109164.0,,,,Typical LNG Carrier,Liquified Natural Gas,208,42,0.52,2
2021-10-16,Bulk Carrier,18759,397,,,190564.0,,Handysize,Grain,199,38,0.63,1
2023-02-08,Bulk Carrier,19305,190,,,37379.0,,Handysize,Iron Ore,134,21,0.52,1
2021-12-09,LPG Carrier,27399,396,,57613.0,,,Typical LPG Carrier,Liquified Petroleum Gas,141,26,0.58,2
2021-09-08,Container Ship,14944,200,,,,12184.0,Feedermax Ships,Chemicals,400,58,0.74,7
2021-05-20,LPG Carrier,34946,253,,8876.0,,,Typical LPG Carrier,Liquified Petroleum Gas,165,14,0.57,3
2022-02-03,LNG Carrier,52761,104,145327.0,,,,Typical LNG Carrier,Liquified Natural Gas,288,46,0.73,4
2022-01-29,Container Ship,21187,85,,,,13552.0,Feeder Ships,Electronics,318,39,0.56,9
2022-09-24,Tanker,18019,305,,,375810.0,,Suezmax,Refined Products,217,45,0.78,17
2021-02-16,Bulk Carrier,20439,116,,,146945.0,,Capesize,Coal,291,34,0.55,6
2021-08-02,Container Ship,11935,175,,,,7493.0,Feeder Ships,Chemicals,375,24,0.54,16
2022-07-06,Container Ship,29744,274,,,,4918.0,New Panamax (Neo-Panamax) Ships,Chemicals,90,26,0.66,1
2023-10-15,Bulk Carrier,20284,339,,,126586.0,,Handysize,Grain,258,22,0.59,1
2023-11-24,Bulk Carrier,13011,106,,,111070.0,,Handymax/Supramax,Coal,298,40,0.68,8
2021-08-25,LNG Carrier,47010,160,103861.0,,,,Typical LNG Carrier,Liquified Natural Gas,296,43,0.73,12
2022-12-08,LNG Carrier,52472,224,107081.0,,,,Typical LNG Carrier,Liquified Natural Gas,207,45,0.6,16
2023-11-15,Container Ship,21448,96,,,,10089.0,Feeder Ships,Electronics,144,16,0.64,4
2021-01-25,LNG Carrier,38784,62,126539.0,,,,Typical LNG Carrier,Liquified Natural Gas,282,43,0.54,13
2022-12-14,Tanker,25601,287,,,148628.0,,ULCC,Crude Oil,121,24,0.72,17
2022-06-21,LPG Carrier,41980,77,,47812.0,,,Typical LPG Carrier,Liquified Petroleum Gas,163,15,0.66,13
2022-12-22,LNG Carrier,52839,148,145608.0,,,,Typical LNG Carrier,Liquified Natural Gas,219,40,0.53,11
2021-04-26,LPG Carrier,42454,257,,74173.0,,,Typical LPG Carrier,Liquified Petroleum Gas,219,39,0.76,6
2022-04-12,Tanker,47979,95,,,215996.0,,MR,Refined Products,335,25,0.59,6
2021-03-28,LPG Carrier,25172,429,,18570.0,,,Typical LPG Carrier,Liquified Petroleum Gas,197,32,0.78,14
2022-05-22,Tanker,18814,293,,,143554.0,,MR,Crude Oil,170,48,0.6,9
2023-10-21,Tanker,38362,390,,,397190.0,,VLCC,Refined Products,309,47,0.71,18
2022-05-20,LNG Carrier,37719,165,138554.0,,,,Typical LNG Carrier,Liquified Natural Gas,264,45,0.79,8
2021-04-09,Tanker,18093,385,,,355463.0,,Aframax,Refined Products,142,46,0.56,16
2022-05-24,Tanker,24855,120,,,68314.0,,Panamax,Refined Products,132,52,0.79,5
2023-05-10,LNG Carrier,53631,272,105334.0,,,,Typical LNG Carrier,Liquified Natural Gas,266,46,0.53,9
2022-04-07,LPG Carrier,34977,387,,63879.0,,,Typical LPG Carrier,Liquified Petroleum Gas,130,23,0.78,2
2022-09-09,Container Ship,34154,299,,,,8643.0,Feedermax Ships,Machinery,286,18,0.53,12
2022-07-25,LPG Carrier,20536,348,,24538.0,,,Typical LPG Carrier,Liquified Petroleum Gas,159,15,0.54,16
2023-01-26,LPG Carrier,23428,359,,79201.0,,,Typical LPG Carrier,Liquified Petroleum Gas,177,23,0.5,15
2021-01-11,Container Ship,28059,261,,,,7216.0,Panamax Ships,Apparel,132,29,0.74,7
2023-10-16,Bulk Carrier,22152,58,,,70795.0,,Handysize,Coal,123,39,0.7,1
2022-12-29,Bulk Carrier,10664,261,,,165493.0,,Panamax,Iron Ore,123,25,0.77,6
2021-04-30,LNG Carrier,43151,303,136984.0,,,,Typical LNG Carrier,Liquified Natural Gas,240,41,0.54,14
2021-07-30,LNG Carrier,34609,252,141879.0,,,,Typical LNG Carrier,Liquified Natural Gas,248,50,0.79,15
2022-02-23,Bulk Carrier,29218,234,,,173572.0,,Capesize,Grain,194,43,0.61,8
2021-09-23,LPG Carrier,23293,343,,61037.0,,,Typical LPG Carrier,Liquified Petroleum Gas,227,40,0.77,7
2023-03-15,Bulk Carrier,23470,104,,,193021.0,,Handysize,Coal,145,40,0.63,10
2022-11-28,Bulk Carrier,14351,62,,,83655.0,,Capesize,Coal,100,31,0.57,12
2023-12-01,LPG Carrier,31951,132,,67410.0,,,Typical LPG Carrier,Liquified Petroleum Gas,172,27,0.63,10
2023-10-28,LNG Carrier,51752,319,107067.0,,,,Typical LNG Carrier,Liquified Natural Gas,286,41,0.69,18
2022-03-16,LPG Carrier,34424,315,,53734.0,,,Typical LPG Carrier,Liquified Petroleum Gas,119,17,0.79,4
2022-04-01,LPG Carrier,40022,445,,35006.0,,,Typical LPG Carrier,Liquified Petroleum Gas,149,17,0.77,17
2022-01-08,Bulk Carrier,26189,432,,,182670.0,,Capesize,Grain,100,35,0.69,6
2023-11-20,LPG Carrier,36012,131,,62656.0,,,Typical LPG Carrier,Liquified Petroleum Gas,165,19,0.55,7
2023-05-09,LNG Carrier,37448,261,126805.0,,,,Typical LNG Carrier,Liquified Natural Gas,216,42,0.7,12
2023-05-16,Container Ship,10630,287,,,,5484.0,New Panamax (Neo-Panamax) Ships,Machinery,171,44,0.65,12
2023-05-16,LNG Carrier,37854,320,107685.0,,,,Typical LNG Carrier,Liquified Natural Gas,282,46,0.78,12
2021-06-18,LNG Carrier,59899,381,119090.0,,,,Typical LNG Carrier,Liquified Natural Gas,279,48,0.73,2
2021-07-25,LNG Carrier,58911,327,133348.0,,,,Typical LNG Carrier,Liquified Natural Gas,251,45,0.54,5
