Charter Date,Vessel Type,Charter Price ($/day),Duration (days),LNG Capacity (m),LPG Capacity (m),Cargo Capacity (DWT),Container Capacity (TEU),Size Category,Cargo Type,Vessel Length (m),Vessel breadth (m),Fuel Cost ($/liter),Age_of_Vess
2021-11-01,LPG Carrier,33578,133,,34641.0,,,Typical LPG Carrier,Liquified Petroleum Gas,140,36,0.58,5
2022-12-24,Tanker,47654,157,,,177047.0,,ULCC,Crude Oil,144,20,0.75,8
2024-02-01,LPG Carrier,37711,261,,69083.0,,,Typical LPG Carrier,Liquified Petroleum Gas,144,39,0.68,16
2021-10-03,Tanker,48917,315,,,377036.0,,MR,Crude Oil,285,22,0.55,18
2022-06-12,LNG Carrier,56915,387,129138.0,,,,Typical LNG Carrier,Liquified Natural Gas,277,46,0.77,4
2021-06-20,LNG Carrier,28205,146,142049.0,,,,Typical LNG Carrier,Liquified Natural Gas,226,48,0.57,7
2021-04-03,Container Ship,16515,368,,,,10679.0,New Panamax (Neo-Panamax) Ships,Apparel,304,31,0.62,7
2022-01-26,Bulk Carrier,15357,78,,,29110.0,,Handysize,Grain,225,36,0.78,9
2021-03-13,Tanker,21393,101,,,179804.0,,Handysize,Crude Oil,208,32,0.7,1
2021-03-11,LPG Carrier,20414,109,,48237.0,,,Typical LPG Carrier,Liquified Petroleum Gas,226,23,0.55,10
2023-03-06,LNG Carrier,25396,206,120014.0,,,,Typical LNG Carrier,Liquified Natural Gas,219,47,0.76,5
2021-02-24,Bulk Carrier,20258,364,,,45763.0,,Panamax,Grain,244,54,0.65,4
2021-03-06,Tanker,16343,377,,,203871.0,,VLCC,Crude Oil,267,21,0.72,10
2023-07-06,Container Ship,30896,212,,,,4387.0,New Panamax (Neo-Panamax) Ships,Machinery,261,34,0.79,9
2021-11-12,LNG Carrier,37355,234,142549.0,,,,Typical LNG Carrier,Liquified Natural Gas,275,49,0.59,5
2022-01-21,Container Ship,16045,236,,,,4251.0,Panamax Ships,Machinery,262,15,0.78,14
2021-07-06,Bulk Carrier,14528,240,,,174705.0,,Capesize,Coal,142,54,0.74,16
2021-01-14,Tanker,46132,443,,,261255.0,,MR,Refined Products,348,23,0.78,3
2022-06-06,Bulk Carrier,11163,377,,,59773.0,,Capesize,Iron Ore,247,44,0.63,7
2023-12-06,LPG Carrier,37417,275,,67499.0,,,Typical LPG Carrier,Liquified Petroleum Gas,139,37,0.59,10
2022-07-26,Bulk Carrier,20937,202,,,139624.0,,Handysize,Grain,288,23,0.72,2
2023-01-24,Bulk Carrier,26922,118,,,98239.0,,Handymax/Supramax,Grain,112,20,0.75,6
2021-02-02,LPG Carrier,20857,160,,55798.0,,,Typical LPG Carrier,Liquified Petroleum Gas,176,35,0.69,1
2024-01-03,LNG Carrier,40702,226,126951.0,,,,Typical LNG Carrier,Liquified Natural Gas,210,42,0.7,18
2023-04-19,Tanker,46182,149,,,154713.0,,LR1,Refined Products,141,61,0.79,17
2023-06-25,Container Ship,15435,126,,,,13052.0,Feedermax Ships,Apparel,293,24,0.7,16
2022-12-04,LPG Carrier,28979,206,,55652.0,,,Typical LPG Carrier,Liquified Petroleum Gas,192,23,0.77,14
2022-02-08,Tanker,40164,442,,,267571.0,,Panamax,Refined Products,81,53,0.51,7
2022-05-18,Bulk Carrier,25344,113,,,72623.0,,Handysize,Iron Ore,280,36,0.54,14
2021-01-03,LNG Carrier,36018,76,114309.0,,,,Typical LNG Carrier,Liquified Natural Gas,205,44,0.75,11
2022-01-15,Container Ship,30612,241,,,,9604.0,Feedermax Ships,Consumer Goods,262,40,0.69,13
2023-06-28,Bulk Carrier,21421,58,,,118239.0,,Handymax/Supramax,Grain,161,41,0.58,5
2021-04-17,Bulk Carrier,12720,333,,,75410.0,,Handysize,Grain,273,43,0.64,1
2022-04-19,Container Ship,32668,66,,,,5545.0,Panamax Ships,Apparel,134,40,0.53,16
2022-08-26,Bulk Carrier,17093,228,,,123949.0,,Capesize,Grain,175,22,0.53,15
2022-05-14,Bulk Carrier,15576,340,,,130586.0,,Panamax,Coal,289,30,0.62,8
2021-08-27,Tanker,45162,444,,,182994.0,,VLCC,Crude Oil,91,34,0.61,3
2022-09-01,LNG Carrier,35427,379,128031.0,,,,Typical LNG Carrier,Liquified Natural Gas,227,47,0.71,5
2023-10-20,LPG Carrier,23251,169,,60530.0,,,Typical LPG Carrier,Liquified Petroleum Gas,157,34,0.57,17
2023-06-05,Container Ship,16148,238,,,,4891.0,New Panamax (Neo-Panamax) Ships,Consumer Goods,358,60,0.7,8
2023-11-15,Bulk Carrier,23613,74,,,120313.0,,Panamax,Iron Ore,130,45,0.73,17
2023-09-29,Tanker,23362,223,,,243485.0,,VLCC,Crude Oil,93,28,0.54,18
2022-12-08,Container Ship,10249,89,,,,6105.0,Feedermax Ships,Consumer Goods,253,21,0.62,1
2021-12-17,LNG Carrier,29701,450,145179.0,,,,Typical LNG Carrier,Liquified Natural Gas,270,46,0.51,1
2023-03-17,Container Ship,14834,286,,,,10352.0,Post-Panamax Ships,Consumer Goods,119,59,0.51,18
2022-08-16,Container Ship,26838,141,,,,5476.0,Feedermax Ships,Consumer Goods,255,51,0.57,14
2021-08-13,Bulk Carrier,25349,364,,,131494.0,,Panamax,Coal,252,25,0.53,1
2022-04-16,Bulk Carrier,26887,440,,,47753.0,,Handysize,Iron Ore,252,22,0.77,11
2021-12-26,LNG Carrier,59116,270,139216.0,,,,Typical LNG Carrier,Liquified Natural Gas,274,48,0.66,9
2021-11-29,Container Ship,13162,101,,,,5747.0,Feeder Ships,Chemicals,306,44,0.53,12
2021-05-28,LPG Carrier,33379,211,,16891.0,,,Typical LPG Carrier,Liquified Petroleum Gas,127,23,0.51,8
2023-07-03,LNG Carrier,45271,183,107990.0,,,,Typical LNG Carrier,Liquified Natural Gas,232,41,0.56,18
2022-08-21,LPG Carrier,41000,364,,29986.0,,,Typical LPG Carrier,Liquified Petroleum Gas,164,18,0.58,4
2022-04-27,LPG Carrier,40979,219,,52920.0,,,Typical LPG Carrier,Liquified Petroleum Gas,128,16,0.55,3
2021-02-10,LNG Carrier,58413,183,132163.0,,,,Typical LNG Carrier,Liquified Natural Gas,296,41,0.58,17
2021-11-12,LNG Carrier,34125,226,141952.0,,,,Typical LNG Carrier,Liquified Natural Gas,254,41,0.69,5
2023-06-28,Container Ship,14722,365,,,,11132.0,New Panamax (Neo-Panamax) Ships,Electronics,342,52,0.64,11
2022-05-10,Tanker,41240,371,,,108343.0,,ULCC,Crude Oil,312,45,0.5,7
2021-06-03,LNG Carrier,42603,294,124331.0,,,,Typical LNG Carrier,Liquified Natural Gas,282,42,0.7,11
2021-07-29,Tanker,26728,188,,,118470.0,,MR,Refined Products,303,62,0.7,10
2021-02-19,Container Ship,22898,263,,,,7518.0,Post-Panamax Ships,Consumer Goods,81,45,0.6,5
2022-03-21,LPG Carrier,24706,321,,44658.0,,,Typical LPG Carrier,Liquified Petroleum Gas,149,23,0.54,11
2023-08-24,LNG Carrier,55558,55,145493.0,,,,Typical LNG Carrier,Liquified Natural Gas,247,50,0.72,2
2023-01-16,Tanker,30362,157,,,196883.0,,Aframax,Crude Oil,164,43,0.68,7
2021-03-08,Container Ship,20703,412,,,,5134.0,Feedermax Ships,Consumer Goods,119,38,0.75,12
2021-11-23,Tanker,43544,306,,,280460.0,,LR2,Refined Products,103,40,0.68,3
2022-04-02,LNG Carrier,58987,334,116604.0,,,,Typical LNG Carrier,Liquified Natural Gas,222,43,0.79,8
2022-04-17,LPG Carrier,32495,208,,39865.0,,,Typical LPG Carrier,Liquified Petroleum Gas,115,40,0.69,4
2023-02-10,Bulk Carrier,21355,283,,,37671.0,,Handymax/Supramax,Iron Ore,158,25,0.63,9
2022-09-27,Bulk Carrier,13860,273,,,98618.0,,Panamax,Coal,144,27,0.5,3
2022-02-06,LPG Carrier,42981,286,,37231.0,,,Typical LPG Carrier,Liquified Petroleum Gas,164,23,0.69,13
2023-04-12,Tanker,38268,131,,,343824.0,,ULCC,Crude Oil,344,34,0.53,18
2023-07-30,LPG Carrier,33040,301,,73253.0,,,Typical LPG Carrier,Liquified Petroleum Gas,110,34,0.64,5
2022-12-21,Tanker,15438,264,,,96877.0,,LR2,Crude Oil,301,50,0.57,8
2023-12-26,Tanker,38691,401,,,265586.0,,Panamax,Refined Products,325,32,0.58,18
2021-12-18,LNG Carrier,45774,247,107938.0,,,,Typical LNG Carrier,Liquified Natural Gas,247,48,0.59,13
2021-07-20,LNG Carrier,38326,374,144717.0,,,,Typical LNG Carrier,Liquified Natural Gas,271,49,0.65,1
2023-11-19,Bulk Carrier,27492,60,,,144723.0,,Handysize,Grain,118,56,0.52,5
2023-12-18,Container Ship,14341,289,,,,9190.0,New Panamax (Neo-Panamax) Ships,Consumer Goods,272,50,0.7,15
2022-10-28,LPG Carrier,20964,96,,70175.0,,,Typical LPG Carrier,Liquified Petroleum Gas,114,15,0.56,15
2023-02-28,Bulk Carrier,17944,46,,,106218.0,,Handysize,Iron Ore,262,58,0.77,11
2022-06-18,Bulk Carrier,11993,363,,,15375.0,,Handymax/Supramax,Iron Ore,121,57,0.54,14
2022-05-05,Bulk Carrier,23651,234,,,167420.0,,Panamax,Grain,193,33,0.57,12
2023-01-06,Container Ship,25856,415,,,,3813.0,New Panamax (Neo-Panamax) Ships,Machinery,209,47,0.59,5
2022-04-12,Tanker,41987,357,,,227775.0,,Panamax,Crude Oil,297,33,0.74,13
2021-08-12,LNG Carrier,35516,309,133638.0,,,,Typical LNG Carrier,Liquified Natural Gas,242,48,0.72,9
2022-11-14,Tanker,18284,238,,,398697.0,,LR2,Refined Products,326,51,0.6,15
2023-01-06,Container Ship,14538,224,,,,10359.0,Feeder Ships,Apparel,353,49,0.56,9
2021-03-11,Bulk Carrier,18141,255,,,40320.0,,Handysize,Coal,209,50,0.66,9
2023-04-04,Bulk Carrier,12864,148,,,152712.0,,Handymax/Supramax,Grain,260,27,0.7,10
2022-04-12,Tanker,26599,179,,,399341.0,,Suezmax,Crude Oil,200,20,0.62,6
2021-03-09,LNG Carrier,34166,88,144783.0,,,,Typical LNG Carrier,Liquified Natural Gas,210,46,0.55,2
2023-03-25,Tanker,32497,359,,,234454.0,,Suezmax,Refined Products,285,49,0.8,5
2021-07-25,Bulk Carrier,21022,401,,,130541.0,,Handymax/Supramax,Coal,265,35,0.55,17
2022-03-21,Container Ship,22469,416,,,,11045.0,Feeder Ships,Chemicals,229,28,0.79,9
2022-06-30,LPG Carrier,33004,223,,24059.0,,,Typical LPG Carrier,Liquified Petroleum Gas,203,38,0.76,12
2023-05-21,Container Ship,32856,364,,,,10765.0,Feedermax Ships,Chemicals,287,43,0.75,7
2022-01-09,Container Ship,11028,392,,,,6805.0,New Panamax (Neo-Panamax) Ships,Consumer Goods,136,28,0.55,16
2022-08-05,LNG Carrier,36828,210,124641.0,,,,Typical LNG Carrier,Liquified Natural Gas,248,47,0.75,17
2023-11-08,LNG Carrier,29841,178,115847.0,,,,Typical LNG Carrier,Liquified Natural Gas,229,50,0.63,1
2022-03-23,Container Ship,28365,349,,,,12945.0,Post-Panamax Ships,Chemicals,209,56,0.53,12
2022-12-01,Container Ship,31228,66,,,,7728.0,Post-Panamax Ships,Apparel,179,33,0.53,4
2022-01-20,Bulk Carrier,15485,75,,,121741.0,,Handysize,Iron Ore,207,31,0.68,13
2023-02-09,Container Ship,23552,120,,,,10201.0,Feeder Ships,Machinery,190,24,0.77,2
2022-08-19,Bulk Carrier,13343,62,,,72536.0,,Handysize,Coal,178,20,0.68,4
2023-12-19,Tanker,31198,209,,,328700.0,,ULCC,Refined Products,98,41,0.51,18
2021-11-27,Container Ship,26074,283,,,,6700.0,Feedermax Ships,Chemicals,317,42,0.56,4
2023-07-31,Tanker,41548,149,,,328315.0,,LR2,Crude Oil,162,26,0.53,1
2021-08-29,LPG Carrier,31591,128,,31653.0,,,Typical LPG Carrier,Liquified Petroleum Gas,154,35,0.76,17
2023-06-18,Container Ship,13750,350,,,,3760.0,Feedermax Ships,Apparel,178,50,0.61,15
2021-01-13,Tanker,39554,148,,,346542.0,,VLCC,Refined Products,216,61,0.62,18
2022-02-02,Bulk Carrier,25656,71,,,135138.0,,Handysize,Grain,237,53,0.73,14
2022-02-23,LPG Carrier,29672,100,,7703.0,,,Typical LPG Carrier,Liquified Petroleum Gas,116,15,0.79,5
2023-09-02,Tanker,29708,96,,,77562.0,,LR1,Crude Oil,173,32,0.5,15
2023-03-17,Tanker,39802,352,,,146163.0,,MR,Refined Products,108,41,0.58,9
2023-03-19,LNG Carrier,50376,74,135048.0,,,,Typical LNG Carrier,Liquified Natural Gas,234,44,0.66,8
2022-12-24,LNG Carrier,49846,442,135235.0,,,,Typical LNG Carrier,Liquified Natural Gas,217,43,0.69,16
2023-09-25,LNG Carrier,47253,81,102416.0,,,,Typical LNG Carrier,Liquified Natural Gas,265,46,0.64,16
2021-08-08,LNG Carrier,59578,388,101478.0,,,,Typical LNG Carrier,Liquified Natural Gas,244,40,0.51,5
2023-01-27,Container Ship,14768,230,,,,3020.0,Feedermax Ships,Consumer Goods,71,34,0.62,3
2022-04-24,Container Ship,23603,73,,,,12353.0,New Panamax (Neo-Panamax) Ships,Consumer Goods,349,42,0.56,3
2021-06-02,Bulk Carrier,29432,317,,,172203.0,,Panamax,Iron Ore,169,50,0.67,3
2023-07-12,Tanker,26037,413,,,396785.0,,Panamax,Crude Oil,71,44,0.56,8
2023-06-17,Bulk Carrier,18722,56,,,108114.0,,Capesize,Grain,151,57,0.72,12
2023-03-14,Tanker,17119,117,,,365823.0,,Panamax,Crude Oil,227,42,0.75,11
2022-09-28,LNG Carrier,45983,114,118153.0,,,,Typical LNG Carrier,Liquified Natural Gas,220,41,0.77,12
2023-05-19,Container Ship,26927,213,,,,5020.0,Post-Panamax Ships,Electronics,237,27,0.57,8
2021-07-06,Bulk Carrier,10434,152,,,98843.0,,Handymax/Supramax,Grain,217,29,0.59,15
2023-04-06,Tanker,22025,255,,,247091.0,,VLCC,Refined Products,91,39,0.6,4
2022-11-09,Container Ship,31721,270,,,,7436.0,Feedermax Ships,Chemicals,289,53,0.63,8
2021-07-27,Tanker,17673,212,,,147992.0,,LR1,Crude Oil,336,25,0.69,6
2022-11-11,LPG Carrier,24547,385,,41479.0,,,Typical LPG Carrier,Liquified Petroleum Gas,213,38,0.63,7
2023-06-14,LNG Carrier,51515,83,123757.0,,,,Typical LNG Carrier,Liquified Natural Gas,233,48,0.64,3
2021-11-20,Bulk Carrier,24872,233,,,125826.0,,Capesize,Coal,288,34,0.54,15
2021-01-15,LNG Carrier,59802,245,110566.0,,,,Typical LNG Carrier,Liquified Natural Gas,244,50,0.59,10
2023-12-01,Container Ship,22379,331,,,,4533.0,New Panamax (Neo-Panamax) Ships,Chemicals,302,52,0.73,10
2023-04-09,Tanker,41374,268,,,143021.0,,Handysize,Refined Products,165,33,0.69,16
2021-12-20,Tanker,43363,152,,,244710.0,,Handysize,Crude Oil,255,44,0.54,6
2022-01-19,Container Ship,23904,126,,,,9953.0,Feeder Ships,Machinery,339,49,0.51,8
2023-09-08,LNG Carrier,26248,355,125497.0,,,,Typical LNG Carrier,Liquified Natural Gas,216,41,0.51,13
2021-07-14,Tanker,17128,68,,,209404.0,,ULCC,Refined Products,169,48,0.54,7
2023-04-20,LPG Carrier,35465,106,,78311.0,,,Typical LPG Carrier,Liquified Petroleum Gas,225,18,0.53,2
2021-06-07,Container Ship,29613,299,,,,9616.0,New Panamax (Neo-Panamax) Ships,Machinery,312,54,0.5,9
2021-03-09,Container Ship,19337,361,,,,6406.0,New Panamax (Neo-Panamax) Ships,Electronics,214,36,0.8,18
2022-09-14,LPG Carrier,28853,374,,74425.0,,,Typical LPG Carrier,Liquified Petroleum Gas,216,19,0.69,8
2022-01-01,LNG Carrier,45810,52,116644.0,,,,Typical LNG Carrier,Liquified Natural Gas,217,40,0.66,13
2024-01-06,Container Ship,23115,90,,,,9237.0,New Panamax (Neo-Panamax) Ships,Apparel,121,45,0.52,10
2022-10-25,LNG Carrier,37741,281,116669.0,,,,Typical LNG Carrier,Liquified Natural Gas,262,42,0.75,6
2022-02-17,LPG Carrier,23659,252,,29902.0,,,Typical LPG Carrier,Liquified Petroleum Gas,119,14,0.76,16
2023-08-01,Tanker,31598,91,,,340814.0,,VLCC,Refined Products,208,25,0.68,2
2023-02-09,LPG Carrier,29305,291,,51585.0,,,Typical LPG Carrier,Liquified Petroleum Gas,153,15,0.53,1
2024-01-17,Container Ship,18833,335,,,,9055.0,Feeder Ships,Machinery,249,53,0.72,2
2023-04-28,LNG Carrier,55409,273,116924.0,,,,Typical LNG Carrier,Liquified Natural Gas,205,45,0.64,11
2022-03-08,Bulk Carrier,27758,351,,,88567.0,,Panamax,Iron Ore,283,29,0.52,13
2022-09-14,LNG Carrier,30284,203,127729.0,,,,Typical LNG Carrier,Liquified Natural Gas,225,47,0.72,6
2023-12-13,LNG Carrier,53135,408,104206.0,,,,Typical LNG Carrier,Liquified Natural Gas,232,44,0.67,14
2023-03-28,LPG Carrier,33163,319,,51026.0,,,Typical LPG Carrier,Liquified Petroleum Gas,121,34,0.64,18
2023-08-10,Tanker,20451,341,,,242417.0,,LR1,Refined Products,121,26,0.57,11
2021-09-25,Container Ship,19892,148,,,,7397.0,Post-Panamax Ships,Consumer Goods,232,27,0.66,16
2022-06-28,LPG Carrier,20724,394,,42099.0,,,Typical LPG Carrier,Liquified Petroleum Gas,193,14,0.68,7
2021-07-06,LPG Carrier,39403,157,,8731.0,,,Typical LPG Carrier,Liquified Petroleum Gas,171,39,0.51,7
2021-05-14,LPG Carrier,20457,60,,54939.0,,,Typical LPG Carrier,Liquified Petroleum Gas,176,32,0.64,15
2021-05-11,Bulk Carrier,19788,432,,,14492.0,,Handysize,Grain,294,35,0.54,12
2023-12-16,Bulk Carrier,13533,286,,,141606.0,,Handysize,Coal,291,49,0.57,14
2023-04-09,Bulk Carrier,23092,180,,,122229.0,,Handymax/Supramax,Grain,258,50,0.79,6
2022-12-09,LPG Carrier,34244,331,,22261.0,,,Typical LPG Carrier,Liquified Petroleum Gas,135,39,0.59,11
2021-11-10,Tanker,46642,198,,,102271.0,,MR,Crude Oil,100,23,0.78,16
2023-07-30,Tanker,38256,309,,,336254.0,,Aframax,Refined Products,165,44,0.54,6
2023-05-10,Container Ship,11921,210,,,,8884.0,Panamax Ships,Consumer Goods,97,48,0.66,13
2021-08-03,Bulk Carrier,10751,78,,,72903.0,,Handymax/Supramax,Coal,102,31,0.55,17
2023-03-25,LNG Carrier,27176,380,124961.0,,,,Typical LNG Carrier,Liquified Natural Gas,274,48,0.62,8
2021-06-30,LPG Carrier,36772,145,,61305.0,,,Typical LPG Carrier,Liquified Petroleum Gas,136,15,0.73,12
2023-07-05,Bulk Carrier,12397,334,,,50887.0,,Handysize,Grain,178,23,0.76,9
2021-05-12,LNG Carrier,49601,235,130647.0,,,,Typical LNG Carrier,Liquified Natural Gas,296,44,0.69,16
2023-07-05,Bulk Carrier,14073,186,,,99043.0,,Handymax/Supramax,Iron Ore,150,23,0.72,2
2023-12-19,LPG Carrier,41963,427,,19256.0,,,Typical LPG Carrier,Liquified Petroleum Gas,154,34,0.8,6
2022-07-18,Container Ship,21849,55,,,,7383.0,Panamax Ships,Chemicals,329,33,0.56,18
2023-03-16,Container Ship,19085,86,,,,13376.0,Post-Panamax Ships,Chemicals,281,18,0.72,9
2023-12-27,LNG Carrier,36172,180,137413.0,,,,Typical LNG Carrier,Liquified Natural Gas,235,46,0.61,14
2022-04-22,LNG Carrier,31903,396,113127.0,,,,Typical LNG Carrier,Liquified Natural Gas,237,41,0.74,13
2021-05-16,Bulk Carrier,29208,359,,,66584.0,,Capesize,Coal,235,30,0.72,18
2023-07-06,LNG Carrier,56475,112,109125.0,,,,Typical LNG Carrier,Liquified Natural Gas,220,41,0.51,18
2021-09-07,LPG Carrier,21279,380,,69989.0,,,Typical LPG Carrier,Liquified Petroleum Gas,225,17,0.67,15
2021-06-12,LPG Carrier,38249,424,,40652.0,,,Typical LPG Carrier,Liquified Petroleum Gas,119,31,0.64,10
2022-02-02,LPG Carrier,38829,390,,55459.0,,,Typical LPG Carrier,Liquified Petroleum Gas,172,32,0.79,5
2021-11-29,LPG Carrier,35171,182,,23310.0,,,Typical LPG Carrier,Liquified Petroleum Gas,192,36,0.68,14
2023-01-12,LPG Carrier,22708,70,,79273.0,,,Typical LPG Carrier,Liquified Petroleum Gas,150,32,0.69,17
2022-01-15,LNG Carrier,30786,447,103590.0,,,,Typical LNG Carrier,Liquified Natural Gas,225,45,0.76,10
2021-03-13,Tanker,23420,423,,,355608.0,,LR2,Crude Oil,322,53,0.6,11
2021-03-22,LPG Carrier,34736,446,,58778.0,,,Typical LPG Carrier,Liquified Petroleum Gas,173,21,0.78,17
2024-01-26,Container Ship,23572,316,,,,10301.0,Feedermax Ships,Chemicals,210,50,0.65,10
2022-09-23,LPG Carrier,32704,379,,47592.0,,,Typical LPG Carrier,Liquified Petroleum Gas,189,22,0.54,6
2024-01-26,Bulk Carrier,10165,260,,,53329.0,,Handysize,Coal,110,41,0.63,3
2022-03-29,LNG Carrier,55376,239,115665.0,,,,Typical LNG Carrier,Liquified Natural Gas,244,44,0.72,12
2021-01-30,Tanker,33855,341,,,261573.0,,Aframax,Crude Oil,74,23,0.73,16
2023-04-30,LPG Carrier,37831,242,,79147.0,,,Typical LPG Carrier,Liquified Petroleum Gas,159,18,0.54,14
2022-06-14,Container Ship,32316,256,,,,3582.0,Feeder Ships,Apparel,100,52,0.68,7
2021-06-10,Container Ship,10358,242,,,,11019.0,Feeder Ships,Electronics,308,24,0.61,8
2023-05-30,Container Ship,18915,82,,,,11038.0,Post-Panamax Ships,Consumer Goods,142,25,0.65,5
2023-03-17,LPG Carrier,26493,312,,39948.0,,,Typical LPG Carrier,Liquified Petroleum Gas,105,19,0.57,6
2021-03-12,Bulk Carrier,28035,108,,,47990.0,,Capesize,Iron Ore,134,27,0.51,9
2022-08-05,LNG Carrier,46180,322,112147.0,,,,Typical LNG Carrier,Liquified Natural Gas,279,49,0.55,8
2023-06-26,Container Ship,13047,216,,,,13109.0,New Panamax (Neo-Panamax) Ships,Machinery,200,23,0.65,2
2021-08-09,Container Ship,12197,409,,,,10905.0,New Panamax (Neo-Panamax) Ships,Consumer Goods,373,33,0.79,17
2021-09-11,LNG Carrier,29170,419,144009.0,,,,Typical LNG Carrier,Liquified Natural Gas,297,48,0.51,17
