Charter Date,Vessel Type,Route ID,Charter Price ($/day),Duration (days),Cargo Type/Use Case,Capacity/Bollard Pull,daily_consumption,Distance (nm),Port Fees ($),Average Speed (knots)
2022-03-07,Aframax,STS3,9584,0.041666666666666664,Crude Oil,96339,30,12,0,12.0
2023-09-30,MR,TC6,6106,4.166666666666667,Diesel,48260,25,1200,10000,12.0
2021-12-28,MR,TC14,8539,13.888888888888888,Gasoline,45361,25,4000,22000,12.0
2023-01-23,Suezmax,TD20,5153,13.782051282051283,Crude Oil,141861,40,4300,35000,13.0
2023-11-29,VLCC,TD3C,5528,19.345238095238095,Crude Oil,302515,55,6500,50000,14.0
2022-04-21,Aframax,TD19,7130,2.777777777777778,Fuel Oil,96954,30,800,15000,12.0
2023-01-23,MR,TC2_37,5914,10.416666666666666,Diesel,44775,25,3000,25000,12.0
2023-10-19,MR,TC2_37,5741,10.416666666666666,Diesel,42784,25,3000,25000,12.0
2023-02-23,VLCC,TD15,6501,32.738095238095234,Crude Oil,314751,55,11000,60000,14.0
2022-06-07,Suezmax,STS2,7193,0.04807692307692307,Refined Products,145323,40,15,0,13.0
2022-01-27,VLCC,TD3C,9352,19.345238095238095,Crude Oil,310800,55,6500,50000,14.0
2023-10-21,Suezmax,TD6,8911,3.8461538461538463,Crude Oil,142099,40,1200,12000,13.0
2022-12-11,VLCC,TD15,5072,32.738095238095234,Crude Oil,302129,55,11000,60000,14.0
2021-02-12,MR,STS1,7395,0.034722222222222224,Diesel,45446,25,10,0,12.0
2021-04-08,LR2,TC7,5469,11.85897435897436,Refined Products,84037,40,3700,20000,13.0
2023-12-01,VLCC,TD3C,7410,19.345238095238095,Crude Oil,310690,55,6500,50000,14.0
2023-01-14,MR,STS3,9353,0.041666666666666664,Gasoline,44059,25,12,0,12.0
2023-04-18,VLCC,TD15,9820,32.738095238095234,Crude Oil,309561,55,11000,60000,14.0
2022-12-30,LR2,TC5,9524,17.94871794871795,Refined Products,81925,40,5600,30000,13.0
2023-03-14,MR,TC14,5436,13.888888888888888,Diesel,44670,25,4000,22000,12.0
2023-03-09,VLCC,TD3C,9095,19.345238095238095,Crude Oil,307829,55,6500,50000,14.0
2021-12-11,Suezmax,TD20,8273,13.782051282051283,Refined Products,141501,40,4300,35000,13.0
2022-04-21,MR,TC11,9872,9.722222222222223,Diesel,45432,25,2800,18000,12.0
2022-12-17,MR,TC11,9400,9.722222222222223,Diesel,46382,25,2800,18000,12.0
2022-08-06,MR,TC2_37,7897,10.416666666666666,Gasoline,46588,25,3000,25000,12.0
2023-12-12,Aframax,TD8,9751,15.972222222222221,Fuel Oil,95827,30,4600,30000,12.0
2022-11-08,Suezmax,TD6,8636,3.8461538461538463,Crude Oil,145597,40,1200,12000,13.0
2023-05-11,Aframax,STS1,8556,0.034722222222222224,Crude Oil,99939,30,10,0,12.0
2021-09-20,Aframax,STS3,6069,0.041666666666666664,Fuel Oil,104006,30,12,0,12.0
2023-02-03,MR,TC14,5346,13.888888888888888,Diesel,42688,25,4000,22000,12.0
2023-07-20,LR1,TC5,8296,18.666666666666668,Refined Products,57059,35,5600,30000,12.5
2023-05-13,Aframax,TD19,5456,2.777777777777778,Crude Oil,103187,30,800,15000,12.0
2021-08-26,Suezmax,TD20,6786,13.782051282051283,Refined Products,141388,40,4300,35000,13.0
2024-01-04,VLCC,TD3C,8507,19.345238095238095,Crude Oil,300823,55,6500,50000,14.0
2023-05-06,Suezmax,TD20,5947,13.782051282051283,Crude Oil,146463,40,4300,35000,13.0
2023-03-26,MR,TC14,7916,13.888888888888888,Gasoline,48286,25,4000,22000,12.0
2021-09-27,MR,TC6,5578,4.166666666666667,Diesel,40058,25,1200,10000,12.0
2023-08-26,Suezmax,STS2,8934,0.04807692307692307,Crude Oil,144306,40,15,0,13.0
2023-07-20,MR,TC11,9910,9.722222222222223,Diesel,41711,25,2800,18000,12.0
2022-02-20,Aframax,STS3,6880,0.041666666666666664,Fuel Oil,96397,30,12,0,12.0
2021-10-15,MR,TC6,8196,4.166666666666667,Gasoline,46278,25,1200,10000,12.0
2021-11-13,Aframax,TD8,5481,15.972222222222221,Crude Oil,104716,30,4600,30000,12.0
2022-06-24,VLCC,STS3,9171,0.03571428571428571,Crude Oil,302700,55,12,0,14.0
2021-12-17,MR,TC6,8483,4.166666666666667,Gasoline,41928,25,1200,10000,12.0
2021-09-25,VLCC,TD3C,9057,19.345238095238095,Crude Oil,312961,55,6500,50000,14.0
2021-03-22,MR,TC14,5373,13.888888888888888,Gasoline,42782,25,4000,22000,12.0
2023-03-05,VLCC,STS1,9000,0.029761904761904764,Crude Oil,307362,55,10,0,14.0
2023-12-14,VLCC,TD15,7240,32.738095238095234,Crude Oil,317424,55,11000,60000,14.0
2022-08-28,MR,TC11,8269,9.722222222222223,Gasoline,40977,25,2800,18000,12.0
2023-07-31,LR1,TC5,5330,18.666666666666668,Refined Products,63989,35,5600,30000,12.5
2023-07-13,LR1,TC7,7992,12.333333333333334,Refined Products,58919,35,3700,20000,12.5
2023-05-25,Aframax,TD8,7102,15.972222222222221,Crude Oil,97469,30,4600,30000,12.0
2021-06-18,MR,TC2_37,8382,10.416666666666666,Gasoline,40124,25,3000,25000,12.0
2022-11-14,MR,TC23,9047,1.736111111111111,Gasoline,45626,25,500,8000,12.0
2022-03-07,MR,TC14,8294,13.888888888888888,Diesel,46224,25,4000,22000,12.0
2023-03-18,Suezmax,TD20,6637,13.782051282051283,Crude Oil,146263,40,4300,35000,13.0
2022-08-21,Aframax,TD8,6670,15.972222222222221,Crude Oil,95961,30,4600,30000,12.0
2022-07-19,Aframax,TD19,8963,2.777777777777778,Fuel Oil,102056,30,800,15000,12.0
2022-05-31,Aframax,STS2,6609,0.052083333333333336,Crude Oil,95962,30,15,0,12.0
2021-05-11,VLCC,TD15,9107,32.738095238095234,Crude Oil,302056,55,11000,60000,14.0
2021-02-02,MR,TC14,8792,13.888888888888888,Diesel,48489,25,4000,22000,12.0
2023-04-19,LR1,TC7,5126,12.333333333333334,Refined Products,57093,35,3700,20000,12.5
2021-03-28,Aframax,TD19,8297,2.777777777777778,Crude Oil,104343,30,800,15000,12.0
2022-06-21,VLCC,STS1,5087,0.029761904761904764,Crude Oil,307915,55,10,0,14.0
2023-02-14,MR,TC6,8495,4.166666666666667,Diesel,40992,25,1200,10000,12.0
2023-09-10,Aframax,TD19,10000,2.777777777777778,Crude Oil,96841,30,800,15000,12.0
2021-03-31,MR,TC2_37,9428,10.416666666666666,Diesel,48009,25,3000,25000,12.0
2023-04-27,Suezmax,TD20,5821,13.782051282051283,Crude Oil,148809,40,4300,35000,13.0
2023-01-19,LR2,TC1,8563,17.94871794871795,Refined Products,84467,40,5600,30000,13.0
2021-07-06,MR,TC23,8667,1.736111111111111,Diesel,43774,25,500,8000,12.0
2022-09-26,MR,TC11,9500,9.722222222222223,Gasoline,40433,25,2800,18000,12.0
2022-02-22,VLCC,TD15,8701,32.738095238095234,Crude Oil,307822,55,11000,60000,14.0
2021-01-20,MR,TC14,6955,13.888888888888888,Diesel,43405,25,4000,22000,12.0
2021-12-16,Aframax,TD19,9129,2.777777777777778,Crude Oil,97950,30,800,15000,12.0
2023-02-01,MR,STS1,6562,0.034722222222222224,Gasoline,49149,25,10,0,12.0
2023-07-29,Suezmax,TD20,7671,13.782051282051283,Refined Products,149562,40,4300,35000,13.0
2021-10-11,Aframax,TD19,9774,2.777777777777778,Crude Oil,102185,30,800,15000,12.0
2022-03-02,LR2,TC5,6082,17.94871794871795,Refined Products,81690,40,5600,30000,13.0
2023-10-20,LR1,TC1,7703,18.666666666666668,Refined Products,64486,35,5600,30000,12.5
2022-09-03,MR,TC14,9125,13.888888888888888,Diesel,42272,25,4000,22000,12.0
2021-01-30,Aframax,STS1,7308,0.034722222222222224,Crude Oil,100244,30,10,0,12.0
2021-12-22,MR,STS3,5555,0.041666666666666664,Diesel,46489,25,12,0,12.0
2022-04-07,MR,TC2_37,5842,10.416666666666666,Gasoline,47117,25,3000,25000,12.0
2021-08-17,Suezmax,STS2,6354,0.04807692307692307,Refined Products,141262,40,15,0,13.0
2023-01-24,Aframax,TD19,7746,2.777777777777778,Fuel Oil,101833,30,800,15000,12.0
2022-01-21,Suezmax,TD6,5170,3.8461538461538463,Refined Products,142773,40,1200,12000,13.0
2023-05-03,Aframax,TD19,5661,2.777777777777778,Fuel Oil,97546,30,800,15000,12.0
2023-05-15,Aframax,STS1,8495,0.034722222222222224,Fuel Oil,99061,30,10,0,12.0
2022-11-16,LR2,TC1,9468,17.94871794871795,Refined Products,78292,40,5600,30000,13.0
2022-08-09,MR,TC6,9531,4.166666666666667,Gasoline,48405,25,1200,10000,12.0
2023-12-13,Suezmax,TD20,8837,13.782051282051283,Refined Products,145527,40,4300,35000,13.0
2024-01-14,Suezmax,TD20,9710,13.782051282051283,Refined Products,147934,40,4300,35000,13.0
2021-01-18,MR,TC2_37,9606,10.416666666666666,Gasoline,47712,25,3000,25000,12.0
2023-06-20,MR,STS3,9019,0.041666666666666664,Gasoline,43463,25,12,0,12.0
2022-09-16,VLCC,TD3C,7804,19.345238095238095,Crude Oil,303293,55,6500,50000,14.0
2022-02-03,Aframax,TD19,8930,2.777777777777778,Crude Oil,103656,30,800,15000,12.0
2021-06-08,Suezmax,TD6,6607,3.8461538461538463,Refined Products,143217,40,1200,12000,13.0
2022-03-14,Suezmax,STS2,7475,0.04807692307692307,Crude Oil,145643,40,15,0,13.0
2021-05-26,Suezmax,TD6,6332,3.8461538461538463,Crude Oil,140521,40,1200,12000,13.0
2021-05-23,Aframax,STS1,8091,0.034722222222222224,Fuel Oil,98192,30,10,0,12.0
2022-06-23,LR1,TC5,8434,18.666666666666668,Refined Products,60002,35,5600,30000,12.5
2022-01-30,LR2,TC5,7376,17.94871794871795,Refined Products,82041,40,5600,30000,13.0
2021-11-07,MR,TC23,8538,1.736111111111111,Diesel,49885,25,500,8000,12.0
2023-08-29,MR,TC6,9946,4.166666666666667,Diesel,41512,25,1200,10000,12.0
2021-02-18,VLCC,TD15,6419,32.738095238095234,Crude Oil,315810,55,11000,60000,14.0
2021-12-17,Aframax,TD19,5248,2.777777777777778,Crude Oil,98232,30,800,15000,12.0
2023-05-20,LR2,TC7,5505,11.85897435897436,Refined Products,79760,40,3700,20000,13.0
2023-03-29,VLCC,STS3,8414,0.03571428571428571,Crude Oil,316252,55,12,0,14.0
2021-11-17,MR,TC14,6853,13.888888888888888,Gasoline,43918,25,4000,22000,12.0
2022-03-20,MR,TC14,7242,13.888888888888888,Diesel,42605,25,4000,22000,12.0
2021-08-26,Suezmax,STS2,8566,0.04807692307692307,Refined Products,146159,40,15,0,13.0
2021-02-22,Suezmax,TD6,9520,3.8461538461538463,Refined Products,143406,40,1200,12000,13.0
2022-12-17,MR,TC23,6171,1.736111111111111,Gasoline,41591,25,500,8000,12.0
2023-05-23,LR2,TC5,9459,17.94871794871795,Refined Products,78326,40,5600,30000,13.0
2023-03-18,MR,STS1,9812,0.034722222222222224,Gasoline,49668,25,10,0,12.0
2022-01-31,MR,TC23,8784,1.736111111111111,Gasoline,40453,25,500,8000,12.0
2021-10-22,LR2,TC1,5798,17.94871794871795,Refined Products,77082,40,5600,30000,13.0
2022-07-05,VLCC,TD15,7674,32.738095238095234,Crude Oil,309869,55,11000,60000,14.0
2023-02-26,Aframax,STS3,7631,0.041666666666666664,Crude Oil,100227,30,12,0,12.0
2021-03-05,LR1,TC7,5460,12.333333333333334,Refined Products,61661,35,3700,20000,12.5
2023-02-02,Aframax,TD8,8055,15.972222222222221,Crude Oil,101443,30,4600,30000,12.0
2023-04-26,MR,TC11,8226,9.722222222222223,Diesel,48309,25,2800,18000,12.0
2021-01-28,Aframax,TD19,8650,2.777777777777778,Fuel Oil,99034,30,800,15000,12.0
2021-02-06,Suezmax,TD20,7074,13.782051282051283,Crude Oil,148045,40,4300,35000,13.0
2021-03-27,Suezmax,TD20,6883,13.782051282051283,Refined Products,148752,40,4300,35000,13.0
2021-02-18,MR,TC2_37,5719,10.416666666666666,Gasoline,47614,25,3000,25000,12.0
2022-09-14,Aframax,TD8,6548,15.972222222222221,Crude Oil,102004,30,4600,30000,12.0
2022-10-09,VLCC,TD3C,7855,19.345238095238095,Crude Oil,312876,55,6500,50000,14.0
2023-11-21,Aframax,STS2,6426,0.052083333333333336,Fuel Oil,95994,30,15,0,12.0
2021-12-08,Aframax,TD8,7520,15.972222222222221,Fuel Oil,102249,30,4600,30000,12.0
2023-05-10,Aframax,TD19,8848,2.777777777777778,Crude Oil,104319,30,800,15000,12.0
2022-03-07,MR,STS3,5175,0.041666666666666664,Diesel,43357,25,12,0,12.0
2021-05-24,Suezmax,TD6,8843,3.8461538461538463,Refined Products,145300,40,1200,12000,13.0
2021-01-20,MR,TC14,5589,13.888888888888888,Diesel,44808,25,4000,22000,12.0
2023-06-19,Aframax,TD8,9493,15.972222222222221,Crude Oil,98088,30,4600,30000,12.0
2022-04-07,VLCC,TD15,7225,32.738095238095234,Crude Oil,313388,55,11000,60000,14.0
2021-02-15,VLCC,TD15,6938,32.738095238095234,Crude Oil,311716,55,11000,60000,14.0
2021-06-28,MR,STS1,7810,0.034722222222222224,Diesel,43537,25,10,0,12.0
2021-09-21,MR,TC2_37,6938,10.416666666666666,Diesel,40984,25,3000,25000,12.0
2023-10-09,MR,TC11,9309,9.722222222222223,Diesel,43213,25,2800,18000,12.0
2021-01-04,MR,TC11,7107,9.722222222222223,Gasoline,42827,25,2800,18000,12.0
2021-02-10,LR2,TC1,5545,17.94871794871795,Refined Products,76915,40,5600,30000,13.0
2021-12-12,MR,TC23,9071,1.736111111111111,Diesel,48873,25,500,8000,12.0
2022-03-19,LR2,TC5,5330,17.94871794871795,Refined Products,76543,40,5600,30000,13.0
2022-12-04,MR,TC14,6179,13.888888888888888,Gasoline,47548,25,4000,22000,12.0
2022-08-08,Suezmax,TD20,7581,13.782051282051283,Refined Products,140763,40,4300,35000,13.0
2022-07-19,MR,TC2_37,5922,10.416666666666666,Diesel,41936,25,3000,25000,12.0
2023-06-25,MR,TC11,5346,9.722222222222223,Gasoline,47125,25,2800,18000,12.0
2021-11-08,MR,TC23,8777,1.736111111111111,Diesel,44051,25,500,8000,12.0
2021-04-16,Suezmax,TD6,6461,3.8461538461538463,Crude Oil,148741,40,1200,12000,13.0
2022-03-08,Aframax,TD19,7993,2.777777777777778,Crude Oil,99674,30,800,15000,12.0
2021-01-16,MR,STS3,5211,0.041666666666666664,Gasoline,43751,25,12,0,12.0
2023-08-19,LR1,TC5,5253,18.666666666666668,Refined Products,64909,35,5600,30000,12.5
2022-05-17,VLCC,STS3,8493,0.03571428571428571,Crude Oil,308467,55,12,0,14.0
2024-01-18,Aframax,TD8,8604,15.972222222222221,Crude Oil,97105,30,4600,30000,12.0
2021-02-01,MR,STS3,7171,0.041666666666666664,Gasoline,42220,25,12,0,12.0
2022-12-04,Aframax,TD19,8583,2.777777777777778,Fuel Oil,99916,30,800,15000,12.0
2021-03-09,VLCC,TD15,8004,32.738095238095234,Crude Oil,304757,55,11000,60000,14.0
2021-12-18,LR2,TC5,6073,17.94871794871795,Refined Products,83415,40,5600,30000,13.0
2021-11-22,MR,TC6,8405,4.166666666666667,Diesel,45117,25,1200,10000,12.0
2024-01-29,Aframax,TD8,8766,15.972222222222221,Fuel Oil,96537,30,4600,30000,12.0
2023-09-06,MR,TC2_37,7474,10.416666666666666,Gasoline,47389,25,3000,25000,12.0
2023-10-02,Suezmax,TD20,8446,13.782051282051283,Crude Oil,148630,40,4300,35000,13.0
2021-03-02,MR,TC6,5065,4.166666666666667,Gasoline,48463,25,1200,10000,12.0
2022-02-25,Suezmax,TD20,7663,13.782051282051283,Refined Products,141993,40,4300,35000,13.0
2021-10-14,VLCC,TD3C,5269,19.345238095238095,Crude Oil,318808,55,6500,50000,14.0
2022-03-12,MR,TC2_37,9215,10.416666666666666,Gasoline,48589,25,3000,25000,12.0
2021-04-13,VLCC,TD15,9539,32.738095238095234,Crude Oil,314523,55,11000,60000,14.0
2022-02-25,Suezmax,TD20,8453,13.782051282051283,Refined Products,145184,40,4300,35000,13.0
2023-10-06,Suezmax,TD20,8819,13.782051282051283,Refined Products,146727,40,4300,35000,13.0
2022-02-20,MR,TC23,5031,1.736111111111111,Gasoline,48050,25,500,8000,12.0
2021-10-09,MR,TC11,7855,9.722222222222223,Diesel,44945,25,2800,18000,12.0
2021-01-23,LR2,TC1,6994,17.94871794871795,Refined Products,75021,40,5600,30000,13.0
2023-08-20,Aframax,TD19,7109,2.777777777777778,Fuel Oil,102727,30,800,15000,12.0
2023-12-12,LR1,TC1,9962,18.666666666666668,Refined Products,57218,35,5600,30000,12.5
2023-11-18,MR,TC2_37,5781,10.416666666666666,Gasoline,44955,25,3000,25000,12.0
2022-06-27,Suezmax,STS2,6426,0.04807692307692307,Refined Products,145088,40,15,0,13.0
2024-01-07,MR,STS3,7674,0.041666666666666664,Diesel,42161,25,12,0,12.0
2021-10-10,Aframax,TD8,9870,15.972222222222221,Crude Oil,95413,30,4600,30000,12.0
2022-10-21,MR,TC11,5677,9.722222222222223,Diesel,47254,25,2800,18000,12.0
2023-11-25,MR,TC11,9312,9.722222222222223,Diesel,46455,25,2800,18000,12.0
2021-07-30,Suezmax,STS2,8375,0.04807692307692307,Refined Products,144300,40,15,0,13.0
2022-02-08,MR,TC11,8986,9.722222222222223,Gasoline,45010,25,2800,18000,12.0
2021-03-10,VLCC,TD15,9275,32.738095238095234,Crude Oil,303117,55,11000,60000,14.0
2023-08-06,VLCC,TD15,9757,32.738095238095234,Crude Oil,319626,55,11000,60000,14.0
2023-12-29,LR2,TC1,7627,17.94871794871795,Refined Products,83221,40,5600,30000,13.0
2022-06-27,MR,TC6,5968,4.166666666666667,Gasoline,43093,25,1200,10000,12.0
2023-06-17,LR2,TC5,6206,17.94871794871795,Refined Products,81554,40,5600,30000,13.0
2023-05-25,LR2,TC5,8459,17.94871794871795,Refined Products,76280,40,5600,30000,13.0
2022-04-21,MR,STS1,6722,0.034722222222222224,Gasoline,45279,25,10,0,12.0
2023-10-09,LR1,TC1,8328,18.666666666666668,Refined Products,57260,35,5600,30000,12.5
2021-04-02,Suezmax,STS2,9848,0.04807692307692307,Refined Products,142716,40,15,0,13.0
2023-10-18,MR,TC23,5086,1.736111111111111,Gasoline,48629,25,500,8000,12.0
2023-06-06,MR,TC2_37,8359,10.416666666666666,Gasoline,48785,25,3000,25000,12.0
2021-06-15,MR,STS3,5757,0.041666666666666664,Diesel,42146,25,12,0,12.0
2021-07-08,Aframax,TD19,7201,2.777777777777778,Crude Oil,102651,30,800,15000,12.0
2021-06-21,MR,TC14,8477,13.888888888888888,Diesel,48719,25,4000,22000,12.0
2023-11-10,VLCC,STS1,7135,0.029761904761904764,Crude Oil,317399,55,10,0,14.0
2021-06-23,Suezmax,TD20,9130,13.782051282051283,Refined Products,144807,40,4300,35000,13.0
2022-06-16,Suezmax,TD6,8785,3.8461538461538463,Crude Oil,142141,40,1200,12000,13.0
2022-06-02,Aframax,TD19,9668,2.777777777777778,Fuel Oil,99943,30,800,15000,12.0
2021-04-20,MR,TC2_37,6204,10.416666666666666,Diesel,44343,25,3000,25000,12.0
2023-11-29,MR,STS3,9138,0.041666666666666664,Gasoline,47657,25,12,0,12.0
2021-12-28,Suezmax,TD20,8675,13.782051282051283,Refined Products,148140,40,4300,35000,13.0
2023-01-15,LR2,TC1,5445,17.94871794871795,Refined Products,76544,40,5600,30000,13.0
2021-05-17,MR,TC2_37,8631,10.416666666666666,Diesel,41840,25,3000,25000,12.0
2022-03-21,LR2,TC1,9101,17.94871794871795,Refined Products,77498,40,5600,30000,13.0
2022-12-11,LR1,TC1,8231,18.666666666666668,Refined Products,62006,35,5600,30000,12.5
2021-05-11,LR1,TC5,6744,18.666666666666668,Refined Products,60021,35,5600,30000,12.5
2023-08-28,MR,TC23,8382,1.736111111111111,Gasoline,47979,25,500,8000,12.0
2022-04-09,Aframax,TD19,8700,2.777777777777778,Fuel Oil,103844,30,800,15000,12.0
2023-09-07,Aframax,TD8,6475,15.972222222222221,Fuel Oil,101709,30,4600,30000,12.0
2022-03-31,MR,STS3,7836,0.041666666666666664,Gasoline,45143,25,12,0,12.0
2023-06-05,MR,TC6,5287,4.166666666666667,Diesel,42569,25,1200,10000,12.0
2022-10-01,VLCC,TD15,7228,32.738095238095234,Crude Oil,313429,55,11000,60000,14.0
2021-09-15,Aframax,STS2,7216,0.052083333333333336,Fuel Oil,96373,30,15,0,12.0
2021-10-20,LR2,TC7,5037,11.85897435897436,Refined Products,77836,40,3700,20000,13.0
2021-02-17,VLCC,TD15,5015,32.738095238095234,Crude Oil,306369,55,11000,60000,14.0
2023-11-19,LR1,TC5,5547,18.666666666666668,Refined Products,58249,35,5600,30000,12.5
2022-01-02,MR,TC23,6638,1.736111111111111,Gasoline,42511,25,500,8000,12.0
2023-12-10,Aframax,STS3,5798,0.041666666666666664,Fuel Oil,104428,30,12,0,12.0
2021-01-09,Suezmax,TD20,7749,13.782051282051283,Crude Oil,147161,40,4300,35000,13.0
2023-03-19,MR,STS3,8681,0.041666666666666664,Diesel,48098,25,12,0,12.0
2022-10-14,MR,TC14,7522,13.888888888888888,Gasoline,48089,25,4000,22000,12.0
2021-11-05,LR2,TC5,5750,17.94871794871795,Refined Products,76395,40,5600,30000,13.0
2022-12-23,LR2,TC1,5427,17.94871794871795,Refined Products,77666,40,5600,30000,13.0
2022-05-30,MR,TC14,7837,13.888888888888888,Gasoline,44186,25,4000,22000,12.0
2021-08-08,MR,TC2_37,5402,10.416666666666666,Diesel,46758,25,3000,25000,12.0
2023-05-01,LR2,TC7,9264,11.85897435897436,Refined Products,78262,40,3700,20000,13.0
2022-12-05,Aframax,TD8,9863,15.972222222222221,Crude Oil,100671,30,4600,30000,12.0
2023-05-16,VLCC,STS1,6976,0.029761904761904764,Crude Oil,311354,55,10,0,14.0
2022-08-09,MR,TC23,5290,1.736111111111111,Gasoline,40512,25,500,8000,12.0
2021-05-30,MR,STS3,7218,0.041666666666666664,Gasoline,41182,25,12,0,12.0
2023-11-27,VLCC,STS1,9003,0.029761904761904764,Crude Oil,312589,55,10,0,14.0
2021-01-06,LR2,TC7,5760,11.85897435897436,Refined Products,75788,40,3700,20000,13.0
2021-01-20,MR,TC14,9185,13.888888888888888,Diesel,42350,25,4000,22000,12.0
2024-01-03,MR,TC14,7286,13.888888888888888,Gasoline,46122,25,4000,22000,12.0
2023-08-14,VLCC,TD3C,8529,19.345238095238095,Crude Oil,318073,55,6500,50000,14.0
2021-07-01,MR,STS3,7831,0.041666666666666664,Gasoline,44426,25,12,0,12.0
2023-06-26,LR1,TC5,9037,18.666666666666668,Refined Products,55512,35,5600,30000,12.5
2023-06-18,MR,STS3,5931,0.041666666666666664,Gasoline,45286,25,12,0,12.0
